Model,Exam,Query,Tool,Exit,Cardinality,Time,OK
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-02,STARMC,0.0,0,3.210,0
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-03,STARMC,0.0,0,1.003,0
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-04,STARMC,0.0,261156753,56.379,0
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-06,STARMC,0.0,0,39.712,0
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-07,STARMC,0.0,261156753,0.802,0
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-08,STARMC,0.0,261156753,5.663,0
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-09,STARMC,0.0,261156753,5.879,0
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-10,STARMC,0.0,0,22.264,0
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-12,STARMC,0.0,132687137,3.184,0
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-14,STARMC,0.0,244658128,13.318,0
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-15,STARMC,0.0,0,41.412,0
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-05,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-11,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-13,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-00,STARMC,0.0,3372388305,3.437,0
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-03,STARMC,0.0,3372388305,3.350,0
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-04,STARMC,0.0,243817771,3.755,0
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-06,STARMC,0.0,3372388305,3.220,0
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-08,STARMC,0.0,3372388305,3.412,0
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-09,STARMC,0.0,0,11.747,0
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-13,STARMC,0.0,3372388305,4.540,0
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-14,STARMC,0.0,0,9.024,0
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-15,STARMC,0.0,3372388305,7.885,0
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-01,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0256DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0256DC0064-CTLstarCardinalityX-02,STARMC,85.0,DNF,DNF,1
